Nom,Prix,Carburant,Modèle,CV,KM,Ville
BMW Série 3,85.000 DH  VENDUE,Essence,2008,9 cv,180.000 km,Meknès
ALFA ROMEO Stelvio,335.000 DH  VENDUE,Diesel,2018,8 cv,73.000 km,Casablanca
VOLVO XC90,585.000 DH  VENDUE,Diesel,2020,8 cv,13.000 km,Tanger
JEEP Grand Cherokee,370.000 DH  VENDUE,Diesel,2021,12 cv,9.000 km,Casablanca
VOLKSWAGEN Golf,115.000 DH  VENDUE,Essence,2011,8 cv,128.000 km,Rabat
SEAT Toledo,120.000 DH  VENDUE,Diesel,2015,8 cv,100.000 km,Rabat
SEAT Ibiza,150.000 DH  VENDUE,Essence,2021,6 cv,8.400 km,Rabat
RENAULT Clio,80.000 DH  VENDUE,Essence,2014,cv,36.500 km,Casablanca
RENAULT Mégane,185.000 DH  VENDUE,Diesel,2017,6 cv,14.650 km,Casablanca
VOLKSWAGEN Tiguan,385.000 DH  VENDUE,Diesel,2020,8 cv,12.000 km,Casablanca
MERCEDES Classe A,235.000 DH  VENDUE,Diesel,2015,8 cv,220 km,Rabat
VOLKSWAGEN Polo,110.000 DH  VENDUE,Diesel,2016,6 cv,111.000 km,Fès
AUDI A4,220.000 DH  VENDUE,Diesel,2017,8 cv,115.000 km,Rabat
JEEP Cherokee,370.000 DH  VENDUE,Diesel,2021,9 cv,11.000 km,Casablanca
CITROEN C4 Grand Picasso,180.000 DH  VENDUE,Diesel,2016,6 cv,104.000 km,Temara
PEUGEOT 3008,260.000 DH  VENDUE,Diesel,2020,8 cv,39.000 km,Casablanca
RENAULT Clio,108.000 DH  VENDUE,Diesel,2018,6 cv,98.000 km,Rabat
DACIA Logan,85.000 DH  VENDUE,Diesel,2017,6 cv,103.000 km,Oujda
PEUGEOT 301,89.000 DH  VENDUE,Diesel,2014,6 cv,101.000 km,Casablanca
DACIA Duster,183.000 DH  VENDUE,Diesel,2019,cv,41.000 km,Casablanca
AUDI A4,85.000 DH  VENDUE,Diesel,2008,8 cv,333.000 km,Rabat
HYUNDAI Santa Fe,240.000 DH  VENDUE,Diesel,2018,9 cv,111.000 km,Casablanca
FORD C-Max,175.000 DH  VENDUE,Diesel,2019,6 cv,63.500 km,Oujda
SKODA Karoq,272.000 DH  VENDUE,Diesel,2020,8 cv,45.000 km,Casablanca
FIAT Tipo,140.000 DH  VENDUE,Diesel,2019,6 cv,62.000 km,Rabat
PEUGEOT 308,118.000 DH  VENDUE,Diesel,2017,6 cv,127.000 km,Rabat
CITROEN C4 Picasso,145.000 DH  VENDUE,Diesel,2017,6 cv,108.000 km,Rabat
JEEP Grand Cherokee,230.000 DH  VENDUE,Diesel,2016,12 cv,87.000 km,Casablanca
ALFA ROMEO 4C,450.000 DH  VENDUE,Essence,2019,10 cv,14.000 km,Casablanca
LAND ROVER Range Rover Velar,540.000 DH  VENDUE,Diesel,2020,8 cv,10.900 km,Mohammadia
DACIA Logan,78.000 DH  VENDUE,Essence,2018,7 cv,80.000 km,Kénitra
PEUGEOT 208,95.000 DH  VENDUE,Diesel,2017,6 cv,77.000 km,Larache
FORD C-Max,158.000 DH  VENDUE,Diesel,2016,6 cv,98.000 km,Rabat
JEEP Wrangler,365.000 DH  VENDUE,Diesel,2019,9 cv,78.000 km,Casablanca
PEUGEOT 208,97.000 DH  VENDUE,Diesel,2017,6 cv,75.000 km,Larache
DACIA Logan,83.000 DH  VENDUE,Diesel,2014,6 cv,79.000 km,Rabat
RENAULT Clio,96.000 DH  VENDUE,Diesel,2016,6 cv,75.000 km,Casablanca
HYUNDAI i30,87.000 DH  VENDUE,Diesel,2010,6 cv,190.000 km,Rabat
FORD C-Max,175.000 DH  VENDUE,Diesel,2019,6 cv,60.250 km,Oujda
BMW Série 3,385.000 DH  VENDUE,Diesel,2021,8 cv,2.000 km,Casablanca
KIA Carens,135.000 DH  VENDUE,Diesel,2017,7 cv,92.000 km,Rabat
FIAT Punto Evo,85.000 DH  VENDUE,Diesel,2015,5 cv,160.000 km,Rabat
VOLKSWAGEN Coccinelle,290.000 DH  VENDUE,Diesel,2020,cv,6.000 km,Casablanca
FIAT 500,169.000 DH  VENDUE,Essence,2021,7 cv,6.000 km,Casablanca
RENAULT Clio,96.000 DH  VENDUE,Essence,2018,6 cv,95.000 km,Casablanca
DACIA Sandero,100.000 DH  VENDUE,Diesel,2013,6 cv,130.000 km,Rabat
JEEP Grand Cherokee,385.000 DH  VENDUE,Diesel,2021,12 cv,5.000 km,Casablanca
FIAT 500,142.000 DH  VENDUE,Essence,2021,7 cv,23.000 km,Casablanca
JEEP Wrangler,390.000 DH  VENDUE,Diesel,2018,11 cv,50.000 km,Casablanca
MAZDA 2,65.000 DH  VENDUE,Essence,2011,8 cv,200.000 km,Settat
AUDI Q3 Sportback,740.000 DH  VENDUE,Diesel,2021,8 cv,0 km,Casablanca
SEAT Leon,435.000 DH  VENDUE,Diesel,2021,8 cv,0 km,Casablanca
MERCEDES GLE,0 DH  VENDUE,Hybride,2021,11 cv,0 km,Casablanca
AUDI A3 Sportback,565.000 DH  VENDUE,Diesel,2021,8 cv,0 km,Casablanca
FORD Kuga,218.000 DH  VENDUE,Diesel,2017,8 cv,63.875 km,Casablanca
MERCEDES Classe A,359.000 DH  VENDUE,Diesel,2021,6 cv,7.000 km,Casablanca
ALFA ROMEO Giulia,280.000 DH  VENDUE,Diesel,2019,9 cv,8.000 km,Casablanca
FIAT 500,159.000 DH  VENDUE,Essence,2021,7 cv,4.000 km,Casablanca
TOYOTA Auris,105.000 DH  VENDUE,Diesel,2013,6 cv,130.000 km,Casablanca
AUDI Q3 Sportback,660.000 DH  VENDUE,Diesel,2021,8 cv,22.000 km,Casablanca
FIAT Panda,89.000 DH  VENDUE,Essence,2019,7 cv,41.000 km,Casablanca
MERCEDES Classe A,96.000 DH  VENDUE,Diesel,2012,8 cv,128.000 km,Rabat
FORD C-Max,165.000 DH  VENDUE,Diesel,2018,6 cv,65.000 km,Casablanca
FIAT 500,108.000 DH  VENDUE,Essence,2014,8 cv,100.000 km,Casablanca
NISSAN Qashqai,190.000 DH  VENDUE,Diesel,2016,6 cv,75.000 km,Casablanca
HONDA Civic,120.000 DH  VENDUE,Essence,2015,8 cv,37.003 km,Casablanca
JEEP Compass,260.000 DH  VENDUE,Diesel,2018,8 cv,29.000 km,Casablanca
MERCEDES Classe E,890.000 DH  VENDUE,Hybride,2021,11 cv,0 km,Casablanca
HYUNDAI ix35,155.000 DH  VENDUE,Diesel,2013,7 cv,183.000 km,Temara
PEUGEOT 508,117.000 DH  VENDUE,Diesel,2013,8 cv,125.000 km,Rabat
OPEL Astra,132.000 DH  VENDUE,Diesel,2015,7 cv,120.000 km,Casablanca
AUDI Q5,370.000 DH  VENDUE,Diesel,2018,8 cv,57.000 km,Casablanca
HYUNDAI IONIQ,240.000 DH  VENDUE,Hybride,2020,9 cv,14.000 km,Casablanca
MERCEDES CLA Coupé,710.000 DH  VENDUE,Diesel,2021,8 cv,0 km,Casablanca
KIA Ceed,73.000 DH  VENDUE,Diesel,2010,6 cv,220.000 km,Salé
DACIA Sandero,90.000 DH  VENDUE,Diesel,2017,6 cv,120.000 km,Rabat
AUDI Q7,85.000 DH  VENDUE,Diesel,2008,12 cv,390.000 km,Casablanca
PEUGEOT 301,112.000 DH  VENDUE,Diesel,2018,6 cv,62.000 km,Rabat
RENAULT Mégane,177.000 DH  VENDUE,Diesel,2018,6 cv,65.000 km,Casablanca
AUDI A6,280.000 DH  VENDUE,Diesel,2017,8 cv,128.000 km,Casablanca
MINI 5 portes,175.000 DH  VENDUE,Essence,2015,9 cv,55.000 km,Casablanca
MERCEDES CLA Coupé,275.000 DH  VENDUE,Diesel,2015,9 cv,160.000 km,Casablanca
DACIA Dokker,108.000 DH  VENDUE,Diesel,2018,6 cv,61.000 km,Rabat
RENAULT Clio,118.000 DH  VENDUE,Diesel,2018,6 cv,79.000 km,Rabat
BMW X3,75.000 DH  VENDUE,Essence,2007,9 cv,186.000 km,Settat
FIAT 500,141.000 DH  VENDUE,Essence,2020,7 cv,14.000 km,Casablanca
VOLKSWAGEN Golf,180.000 DH  VENDUE,Diesel,2019,8 cv,38.000 km,Rabat
LAND ROVER Range Rover Sport,420.000 DH  VENDUE,Diesel,2014,12 cv,112.000 km,Marrakech
MERCEDES Classe M,285.000 DH  VENDUE,Diesel,2015,8 cv,180.000 km,Rabat
VOLKSWAGEN Golf,188.000 DH  VENDUE,Diesel,2017,8 cv,126.000 km,Rabat
AUDI Q5,310.000 DH  VENDUE,Diesel,2014,12 cv,133.000 km,Casablanca
ALFA ROMEO Spider,650.000 DH  VENDUE,Essence,2021,10 cv,0 km,Casablanca
RENAULT Mégane,140.000 DH  VENDUE,Diesel,2016,6 cv,92.000 km,Casablanca
DACIA Logan,83.000 DH  VENDUE,Diesel,2017,6 cv,205.000 km,Tétouan
JEEP Grand Cherokee,170.000 DH  VENDUE,Diesel,2015,cv,160.000 km,Rabat
MERCEDES Classe M,290.000 DH  VENDUE,Diesel,2014,9 cv,85.600 km,Rabat
NISSAN X-Trail,157.000 DH  VENDUE,Diesel,2015,6 cv,92.000 km,Rabat
MERCEDES Classe B,118.000 DH  VENDUE,Diesel,2012,8 cv,128.000 km,Rabat
OPEL Adam,148.000 DH  VENDUE,Essence,2018,7 cv,30.000 km,Casablanca
SEAT Ibiza,95.000 DH  VENDUE,Diesel,2013,6 cv,145.000 km,Rabat
MERCEDES Classe A,540.000 DH  VENDUE,Diesel,2021,8 cv,0 km,Casablanca
VOLKSWAGEN Golf,480.000 DH  VENDUE,Diesel,2021,8 cv,0 km,Casablanca
VOLKSWAGEN Golf,170.000 DH  VENDUE,Diesel,2015,8 cv,129.000 km,Rabat
MERCEDES Classe A,610.000 DH  VENDUE,Diesel,2021,9 cv,0 km,Casablanca
ALFA ROMEO Giulietta,190.000 DH  VENDUE,Diesel,2018,6 cv,75.000 km,Casablanca
RENAULT Mégane Sedan,173.000 DH  VENDUE,Diesel,2017,6 cv,72.000 km,Rabat
AUDI A1,183.000 DH  VENDUE,Essence,2017,9 cv,53.000 km,Casablanca
HONDA Jazz,62.000 DH  VENDUE,Essence,2007,cv,114.000 km,Marrakech
FIAT 500,330.000 DH  VENDUE,Essence,2019,9 cv,18.000 km,Casablanca
PEUGEOT 2008,142.000 DH  VENDUE,Diesel,2017,6 cv,52.000 km,Rabat
MITSUBISHI Outlander,158.000 DH  VENDUE,Diesel,2017,8 cv,180.000 km,Rabat
FIAT 500,130.000 DH  VENDUE,Essence,2020,7 cv,13.000 km,Casablanca
HYUNDAI i30,160.000 DH  VENDUE,Diesel,2018,6 cv,70.000 km,Casablanca
KIA Carens,138.000 DH  VENDUE,Diesel,2016,7 cv,110.000 km,Rabat
RENAULT Mégane,253.000 DH  VENDUE,Diesel,2021,6 cv,1.000 km,Casablanca
PEUGEOT LandTrek,305.000 DH  VENDUE,Diesel,2020,8 cv,6.000 km,Casablanca
PEUGEOT 301,95.000 DH  VENDUE,Diesel,2016,6 cv,100.000 km,Larache
JEEP Grand Cherokee,375.000 DH  VENDUE,Diesel,2021,12 cv,0 km,Casablanca
MERCEDES Classe A,392.000 DH  VENDUE,Diesel,2019,8 cv,32.000 km,Casablanca
ALFA ROMEO 4C,550.000 DH  VENDUE,Essence,2021,10 cv,0 km,Casablanca
VOLVO V40,148.000 DH  VENDUE,Diesel,2015,6 cv,84.000 km,Tanger
NISSAN Qashqai,206.000 DH  VENDUE,Diesel,2018,6 cv,59.000 km,Salé
TOYOTA Corolla Millenium,80.000 DH  VENDUE,Diesel,2008,8 cv,226.368 km,Tanger
AUDI A3,200.000 DH  VENDUE,Diesel,2014,8 cv,150.000 km,Rabat
MERCEDES Classe E,530.000 DH  VENDUE,Diesel,2017,8 cv,54.000 km,Casablanca
FIAT Tipo,138.000 DH  VENDUE,Diesel,2019,6 cv,35.000 km,Casablanca
MERCEDES Classe B,150.000 DH  VENDUE,Diesel,2014,6 cv,148.000 km,Rabat
FIAT 500X,175.000 DH  VENDUE,Diesel,2019,6 cv,13.000 km,Casablanca
KIA Carens,140.000 DH  VENDUE,Diesel,2016,7 cv,100.000 km,Rabat
TOYOTA Verso,107.000 DH  VENDUE,Diesel,2012,8 cv,256.000 km,Casablanca
FIAT 500,240.000 DH  VENDUE,Essence,2020,9 cv,7.000 km,Casablanca
AUDI A3 Sportback,170.000 DH  VENDUE,Diesel,2014,6 cv,159.000 km,Casablanca
MERCEDES Classe E,300.000 DH  VENDUE,Diesel,2017,8 cv,120.000 km,Casablanca
MERCEDES Classe C,157.000 DH  VENDUE,Diesel,2008,cv,180.000 km,Rabat
FORD Mondeo,97.000 DH  VENDUE,Diesel,2012,cv,200.000 km,Rabat
JEEP Wrangler,340.000 DH  VENDUE,Diesel,2019,11 cv,26.000 km,Casablanca
AUDI Q8,1.200.000 DH  VENDUE,Diesel,2020,12 cv,2.000 km,Casablanca
JEEP Grand Cherokee,395.000 DH  VENDUE,Diesel,2021,12 cv,0 km,Casablanca
HYUNDAI i30,159.000 DH  VENDUE,Diesel,2018,6 cv,58.000 km,Kénitra
TOYOTA Yaris,62.000 DH  VENDUE,Essence,2007,cv,128.000 km,Rabat
JEEP Grand Cherokee,150.000 DH  VENDUE,Diesel,2014,12 cv,116.000 km,Casablanca
BMW X5,98.000 DH  VENDUE,Diesel,2007,12 cv,220.000 km,Rabat
VOLKSWAGEN Tiguan,197.000 DH  VENDUE,Diesel,2016,8 cv,76.000 km,Rabat
VOLKSWAGEN Fox,58.000 DH  VENDUE,Essence,2007,6 cv,125.000 km,Ouarzazate
VOLKSWAGEN Coccinelle,240.000 DH  VENDUE,Diesel,2019,6 cv,5.000 km,Casablanca
FIAT 500X,175.000 DH  VENDUE,Diesel,2019,6 cv,13.000 km,Casablanca
FIAT 500,930.000 DH  VENDUE,Diesel,2015,5 cv,115.000 km,Rabat
VOLKSWAGEN Touareg,218.000 DH  VENDUE,Diesel,2017,12 cv,95.000 km,Rabat
VOLKSWAGEN Golf,430.000 DH  VENDUE,Diesel,2021,8 cv,5.000 km,Casablanca
VOLKSWAGEN Golf,590.000 DH  VENDUE,Diesel,2021,8 cv,0 km,Casablanca
MITSUBISHI Pajero Sport,175.000 DH  VENDUE,Diesel,2017,9 cv,86.000 km,Rabat
ALFA ROMEO Giulia,285.000 DH  VENDUE,Diesel,2019,8 cv,7.000 km,Casablanca
JEEP Grand Cherokee,250.000 DH  VENDUE,Diesel,2016,12 cv,130.000 km,Casablanca
VOLKSWAGEN Tiguan,235.000 DH  VENDUE,Diesel,2016,8 cv,74.200 km,Oujda
CHEVROLET Spark,53.000 DH  VENDUE,Essence,2013,6 cv,120.000 km,Casablanca
FIAT Freemont,169.000 DH  VENDUE,Diesel,2017,8 cv,17.000 km,Casablanca
FORD Fusion,159.000 DH  VENDUE,Diesel,2015,8 cv,87.000 km,Casablanca
HYUNDAI i30,168.000 DH  VENDUE,Diesel,2018,6 cv,68.900 km,Fès
PEUGEOT 308,150.000 DH  VENDUE,Diesel,2016,6 cv,75.000 km,Casablanca
AUDI TT,245.000 DH  VENDUE,Essence,2014,11 cv,36.700 km,Casablanca
OPEL Astra,220.000 DH  VENDUE,Diesel,2021,6 cv,4.100 km,Meknès
JAGUAR XE,258.000 DH  VENDUE,Diesel,2021,8 cv,64.000 km,Rabat
OPEL Astra Berline,118.000 DH  VENDUE,Diesel,2013,7 cv,108.000 km,Rabat
FORD Fiesta,105.000 DH  VENDUE,Diesel,2017,6 cv,65.000 km,Casablanca
NISSAN Juke,142.000 DH  VENDUE,Diesel,2016,6 cv,60.000 km,Casablanca
FORD Fiesta,105.000 DH  VENDUE,Diesel,2017,6 cv,64.000 km,Casablanca
FIAT 500,142.000 DH  VENDUE,Diesel,2021,5 cv,0 km,Casablanca
PEUGEOT 207,80.000 DH  VENDUE,Diesel,2007,6 cv,113.459 km,Casablanca
PEUGEOT 3008,108.000 DH  VENDUE,Diesel,2010,6 cv,128.000 km,Rabat
MINI 5 portes,205.000 DH  VENDUE,Essence,2018,7 cv,24.000 km,Casablanca
JEEP Cherokee,295.000 DH  VENDUE,Diesel,2019,8 cv,37.000 km,Casablanca
VOLVO V40,270.000 DH  VENDUE,Diesel,2020,8 cv,18.000 km,Casablanca
KIA Rio,95.000 DH  VENDUE,Diesel,2017,6 cv,108.000 km,Casablanca
RENAULT Clio,100.000 DH  VENDUE,Diesel,2017,6 cv,76.000 km,Casablanca
SSANGYONG Korando,98.000 DH  VENDUE,Diesel,2014,8 cv,123.000 km,Rabat
FIAT Tipo Hatchback,139.000 DH  VENDUE,Diesel,2019,6 cv,27.000 km,Casablanca
FIAT 500X,195.000 DH  VENDUE,Diesel,2019,6 cv,20.000 km,Casablanca
AUDI A1 Sportback,340.000 DH  VENDUE,Essence,2021,9 cv,5.000 km,Casablanca
RENAULT Mégane,165.000 DH  VENDUE,Diesel,2016,6 cv,98.000 km,Casablanca
JEEP Wrangler,470.000 DH  VENDUE,Diesel,2021,9 cv,0 km,Casablanca
OPEL Adam,115.000 DH  VENDUE,Essence,2018,7 cv,45.000 km,Casablanca
JEEP Wrangler,310.000 DH  VENDUE,Diesel,2015,11 cv,24.000 km,Casablanca
MINI Countryman,190.000 DH  VENDUE,Diesel,2016,6 cv,30.000 km,Casablanca
FORD Focus,140.000 DH  VENDUE,Diesel,2014,6 cv,70.000 km,Casablanca
BMW Série 2 Coupé,215.000 DH  VENDUE,Diesel,2014,8 cv,176.180 km,Fès
FIAT 500X,195.000 DH  VENDUE,Diesel,2019,6 cv,17.000 km,Casablanca
TOYOTA Corolla Berline,132.000 DH  VENDUE,Diesel,2014,cv,87.000 km,Larache
AUDI A3,170.000 DH  VENDUE,Diesel,2013,8 cv,135.000 km,Agadir
MERCEDES Classe C,295.000 DH  VENDUE,Diesel,2015,8 cv,140.000 km,Casablanca
FIAT 500,115.000 DH  VENDUE,Diesel,2018,5 cv,25.000 km,Casablanca
FIAT FullBack,118.000 DH  VENDUE,Diesel,2017,10 cv,120.000 km,Rabat
FIAT 500,142.000 DH  VENDUE,Diesel,2021,5 cv,0 km,Casablanca
FIAT Tipo,139.000 DH  VENDUE,Diesel,2019,6 cv,20.000 km,Casablanca
FIAT Tipo,139.000 DH  VENDUE,Diesel,2019,6 cv,20.000 km,Casablanca
LAND ROVER Range Rover Evoque,720.000 DH  VENDUE,Diesel,2021,8 cv,0 km,Casablanca
ALFA ROMEO Stelvio,380.000 DH  VENDUE,Diesel,2019,8 cv,15.000 km,Casablanca
AUDI A3,360.000 DH  VENDUE,Diesel,2017,8 cv,60.000 km,Casablanca
ALFA ROMEO Giulietta,210.000 DH  VENDUE,Diesel,2019,6 cv,43.000 km,Casablanca
VOLKSWAGEN Touareg,215.000 DH  VENDUE,Diesel,2015,12 cv,140.000 km,Rabat
FIAT Panda,105.000 DH  VENDUE,Essence,2019,7 cv,2.000 km,Casablanca
AUDI Q3,300.000 DH  VENDUE,Diesel,2017,8 cv,94.000 km,Rabat
JEEP Cherokee,295.000 DH  VENDUE,Diesel,2019,8 cv,40.000 km,Casablanca
SUZUKI Jimny,83.000 DH  VENDUE,Essence,2010,cv,145.000 km,Rabat
CITROEN Berlingo,125.000 DH  VENDUE,Diesel,2018,6 cv,29.000 km,Casablanca
LAND ROVER Freelander,125.000 DH  VENDUE,Diesel,2011,8 cv,200.000 km,Casablanca
RENAULT Mégane,168.000 DH  VENDUE,Diesel,2018,6 cv,31.000 km,Rabat
ALFA ROMEO Giulietta,195.000 DH  VENDUE,Diesel,2018,6 cv,37.000 km,Casablanca
FIAT 500,162.000 DH  VENDUE,Essence,2020,7 cv,2.000 km,Casablanca
MERCEDES Classe A,199.000 DH  VENDUE,Diesel,2016,6 cv,77.000 km,Casablanca
FIAT Panda,100.000 DH  VENDUE,Essence,2019,7 cv,990 km,Casablanca
MINI Countryman,195.000 DH  VENDUE,Diesel,2016,6 cv,30.000 km,Casablanca
AUDI A1,360.000 DH  VENDUE,Essence,2021,9 cv,0 km,Casablanca
FIAT Panda,105.000 DH  VENDUE,Essence,2019,7 cv,980 km,Casablanca
FIAT Freemont,169.000 DH  VENDUE,Diesel,2017,8 cv,17.000 km,Casablanca
FIAT 500,148.000 DH  VENDUE,Diesel,2021,5 cv,0 km,Casablanca
AUDI A3,370.000 DH  VENDUE,Diesel,2017,8 cv,60.000 km,Casablanca
ALFA ROMEO Giulietta,210.000 DH  VENDUE,Diesel,2019,6 cv,40.000 km,Casablanca
KIA Sportage,163.000 DH  VENDUE,Diesel,2016,8 cv,95.000 km,Rabat
MASERATI Levante,530.000 DH  VENDUE,Diesel,2016,17 cv,80.000 km,Casablanca
LAND ROVER Range Rover,720.000 DH  VENDUE,Diesel,2021,8 cv,0 km,Casablanca
ALFA ROMEO Stelvio,670.000 DH  VENDUE,Essence,2019,17 cv,30.000 km,Casablanca
ALFA ROMEO Giulietta,210.000 DH  VENDUE,Diesel,2019,6 cv,43.000 km,Casablanca
JEEP Cherokee,270.000 DH  VENDUE,Essence,2018,19 cv,35.000 km,Casablanca
AUDI A1,350.000 DH  VENDUE,Essence,2021,11 cv,0 km,Casablanca
FIAT 500X,163.000 DH  VENDUE,Diesel,2016,8 cv,90.000 km,Casablanca
FIAT 500,165.000 DH  VENDUE,Essence,2020,7 cv,9.000 km,Casablanca
VOLVO XC60,189.000 DH  VENDUE,Diesel,2015,8 cv,220.000 km,Tanger
MERCEDES Classe E,210.000 DH  VENDUE,Diesel,2012,8 cv,94.000 km,Tanger
AUDI A3 Sportback,360.000 DH  VENDUE,Essence,2016,14 cv,29.000 km,Marrakech
AUDI A3,0 DH  VENDUE,Essence,2016,14 cv,28.600 km,Marrakech
MERCEDES Classe C,340.000 DH  VENDUE,Diesel,2017,9 cv,46.000 km,Casablanca
PEUGEOT 301,97.000 DH  VENDUE,Diesel,2016,6 cv,99.000 km,Laayoune
FIAT 500X,215.000 DH  VENDUE,Diesel,2019,8 cv,19.000 km,Casablanca
FIAT 500,220.000 DH  VENDUE,Essence,2020,8 cv,6.000 km,Casablanca
BMW Série 1,120.000 DH  VENDUE,Diesel,2010,8 cv,200.000 km,Casablanca
BMW Série 4 Gran Coupé,278.000 DH  VENDUE,Diesel,2015,8 cv,50.000 km,Casablanca
MERCEDES Classe A,240.000 DH  VENDUE,Diesel,2016,6 cv,30.000 km,Casablanca
RENAULT Fluence,112.000 DH  VENDUE,Diesel,2015,6 cv,106.000 km,Rabat
BMW Série 2 Coupé,230.000 DH  VENDUE,Diesel,2015,8 cv,80.000 km,Casablanca
MERCEDES Classe A,240.000 DH  VENDUE,Diesel,2016,6 cv,30.000 km,Casablanca
HONDA Accord,720.000 DH  VENDUE,Essence,2008,11 cv,2.240.386 km,Rabat
ALFA ROMEO Giulietta,170.000 DH  VENDUE,Diesel,2016,8 cv,84.000 km,Casablanca
NISSAN Qashqai,245.000 DH  VENDUE,Diesel,2018,6 cv,18.900 km,Casablanca
JEEP Renegade,178.000 DH  VENDUE,Diesel,2016,6 cv,72.000 km,Rabat
VOLVO V40,128.000 DH  VENDUE,Diesel,2015,6 cv,138.000 km,Rabat
FIAT 500X,215.000 DH  VENDUE,Diesel,2019,8 cv,18.000 km,Casablanca
PEUGEOT 508,142.000 DH  VENDUE,Diesel,2015,8 cv,128.000 km,Rabat
CHEVROLET Cruze,85.000 DH  VENDUE,Diesel,2010,8 cv,154.000 km,Rabat
PEUGEOT 301,98.000 DH  VENDUE,Diesel,2016,6 cv,99.000 km,Laayoune
DACIA Logan,108.000 DH  VENDUE,Diesel,2019,6 cv,29.200 km,Casablanca
AUDI Q3,320.000 DH  VENDUE,Diesel,2017,8 cv,85.000 km,Rabat
BMW Série 5,170.000 DH  VENDUE,Diesel,2011,12 cv,150.000 km,Rabat
JEEP Cherokee,210.000 DH  VENDUE,Diesel,2016,cv,100.000 km,Rabat
FORD Fiesta,92.000 DH  VENDUE,Diesel,2015,6 cv,108.000 km,Casablanca
BMW Série 6 Gran Coupé,380.000 DH  VENDUE,Diesel,2013,12 cv,250.000 km,Casablanca
RENAULT Fluence,123.000 DH  VENDUE,Diesel,2016,6 cv,91.000 km,Rabat
MINI 5 portes,150.000 DH  VENDUE,Diesel,2013,6 cv,90.000 km,Kénitra
SKODA Superb,115.000 DH  VENDUE,Diesel,2012,8 cv,160.000 km,Casablanca
JEEP Grand Cherokee,200.000 DH  VENDUE,Diesel,2015,12 cv,98.000 km,Rabat
DACIA Duster,123.000 DH  VENDUE,Diesel,2017,6 cv,65.600 km,Meknès
CITROEN C4 Picasso,127.000 DH  VENDUE,Diesel,2016,6 cv,91.000 km,Rabat
NISSAN Qashqai,169.500 DH  VENDUE,Diesel,2016,6 cv,119.000 km,Casablanca
MERCEDES Classe C,299.000 DH  VENDUE,Diesel,2015,6 cv,190.000 km,Casablanca
PEUGEOT 301,100.000 DH  VENDUE,Diesel,2016,6 cv,99.000 km,Laayoune
SEAT Leon,165.000 DH  VENDUE,Diesel,2019,6 cv,22.000 km,Rabat
PEUGEOT 308,143.000 DH  VENDUE,Diesel,2019,6 cv,42.000 km,Casablanca
OPEL Insignia,128.000 DH  VENDUE,Diesel,2015,8 cv,94.000 km,Rabat
VOLKSWAGEN Touareg,130.000 DH  VENDUE,Diesel,2010,12 cv,163.000 km,Marrakech
DACIA Logan,60.000 DH  VENDUE,Diesel,2010,6 cv,153.000 km,Agadir
PEUGEOT 2008,120.000 DH  VENDUE,Diesel,2016,6 cv,21.045 km,Casablanca
JEEP Grand Cherokee,240.000 DH  VENDUE,Diesel,2014,12 cv,111.000 km,Rabat
PEUGEOT 208,95.000 DH  VENDUE,Diesel,2013,6 cv,45.000 km,Rabat
FORD Fiesta,82.000 DH  VENDUE,Diesel,2010,6 cv,135.000 km,Rabat
FORD Fiesta,86.000 DH  VENDUE,Diesel,2013,6 cv,130.000 km,Fès
RENAULT Scénic,65.000 DH  VENDUE,Diesel,2000,7 cv,120.000 km,Marrakech
PEUGEOT 508,153.000 DH  VENDUE,Diesel,2015,8 cv,135.000 km,Rabat
VOLKSWAGEN Golf,355.000 DH  VENDUE,Diesel,2017,8 cv,73.000 km,Casablanca
CITROEN C4 Cactus,145.000 DH  VENDUE,Diesel,2018,6 cv,66.000 km,Casablanca
FIAT Panda,81.000 DH  VENDUE,Essence,2019,7 cv,18.000 km,Casablanca
JEEP Renegade,164.000 DH  VENDUE,Diesel,2015,6 cv,127.000 km,Rabat
MERCEDES Classe M,120.000 DH  VENDUE,Diesel,2008,12 cv,145.000 km,Casablanca
RENAULT Clio,133.000 DH  VENDUE,Diesel,2019,6 cv,24.200 km,Tanger
FORD Fiesta,108.000 DH  VENDUE,Diesel,2020,6 cv,125.000 km,Casablanca
DACIA Duster,150.000 DH  VENDUE,Diesel,2018,6 cv,23.000 km,Temara
FIAT 500,70.000 DH  VENDUE,Essence,2010,7 cv,92.300 km,Rabat
RENAULT Clio,133.000 DH  VENDUE,Diesel,2019,6 cv,24.000 km,Tanger
DACIA Duster,120.000 DH  VENDUE,Diesel,2016,6 cv,130.000 km,Kénitra
DACIA Logan,53.500 DH  VENDUE,Diesel,2009,6 cv,130.000 km,Temara
RENAULT Clio,90.000 DH  VENDUE,Diesel,2016,6 cv,154.000 km,Casablanca
OPEL Astra,67.000 DH  VENDUE,Diesel,2006,7 cv,276.000 km,Meknès
FORD Focus,155.000 DH  VENDUE,Diesel,2017,6 cv,54.000 km,Casablanca
AUDI A3 Berline,270.000 DH  VENDUE,Diesel,2015,6 cv,75.000 km,Rabat
VOLKSWAGEN Touareg,70.000 DH  VENDUE,Diesel,2009,12 cv,156.000 km,Casablanca
OPEL Astra Berline,68.000 DH  VENDUE,Diesel,2006,7 cv,240.000 km,Kénitra
